id	entry_point	sentinel	call_count_live	call_count_dead	dead_arm	pinned_by	spec_asserted	timestamp	commit
R0	instrument validation: the same prototype spy over a socket WITH installPetsciiModelChoke and an identical socket WITHOUT it, same session, same string	AnsiToPetsciiTransducer.prototype.transduce	1	0	the DEAD half is inside the test: socketB never has the choke installed	web/backend/tests/petscii/reachability-ledger.test.ts:264	wired: cursor x=2 y=4 bank=1 pen=14 after 'HI ESC[5;3H', instance === session.petsciiTransducer; unwired: session.petsciiTransducer undefined, emit still delivered	2026-09-03	afaa48185
R1	telnet/SSH top level: handleCommand(emitter, c64Session, 'M') + displayScreen(MENU.TXT) on an emitter from the real buildConnectionEmitter	AnsiToPetsciiTransducer.prototype.transduce	2	0	src/server/connection-emitter.ts:99 - transducePetsciiAtChoke replaced by a raw latin1 write	web/backend/tests/petscii/reachability-ledger.test.ts:296	transduce calls == the 2 producer strings, same order, every instance === session.petsciiTransducer; oracle == wireMirror(cursor/bank/pen); wire bytes contain $93 and no $1B	2026-09-03	afaa48185
R2	web top level: the real registerSocketHandlers(io, socket) (the normal-web call site's shape, src/index.ts's socket.io connection handler), then the same handleCommand + displayScreen walk	AnsiToPetsciiTransducer.prototype.transduce + the socket's PETSCII_MODEL_CHOKE marker	2 (marker count 1)	0 (marker count 0)	src/server/socket-handlers.ts:197 - the installPetsciiModelChoke call removed	web/backend/tests/petscii/reachability-ledger.test.ts:352	exactly ONE Symbol(petsciiModelChoke) own-symbol, value true; transduce args == the emitted strings in order; oracle == wireMirror	2026-09-03	afaa48185
R3	reconnect: the real session-restore handler on a NEW socket (registerSocketHandlers -> registerAuthHandlers), then a paint through io.sockets.sockets.get(session.socketId)	AnsiToPetsciiTransducer.prototype.transduce on the live socket; the disposed model	1	1 transduce, but the model is NOT disposed - cursorY stays 12	src/server/auth-socket-handlers.ts:188 - disposePetsciiSessionModel removed	web/backend/tests/server/petscii-model-choke.test.ts:227	after the restore petsciiTransducer and screenSegments are undefined; the next model is (0,0,bank0,pen14); after the live paint (4,2,bank1,pen14); _modemEmulatorInstalled true, so the choke is proven to sit UNDER the modem wrapper	2026-09-03	afaa48185
R4	door adapter run: handleCommand -> processBBSCommand -> executeDoor -> executeAmigaDoor on a C64-adapted 68K door (real dispatch)	AnsiToPetsciiTransducer.prototype.transduce	6	0	src/utils/petscii-session-model.ts:243 - transducePetsciiAtChoke removed from the choke	web/backend/tests/petscii/model-sees-door-frames.test.ts:410	the 6 feeds EQUAL the 6 ansi-output strings the caller received, in order; every instance === session.petsciiTransducer; widest printable run fed = 40; no 41-character rule in the feed or on the wire	2026-09-03	afaa48185
R5	.seq after a paged .TXT: displayScreen(PAGED.TXT) -> startPagination -> handlePaginatedScreenInput -> displayScreen(.seq)	transduce (the page) + observe with an EMPTY argument (the .seq payload)	transduce 3, observe-empty 1, observe-full 0	transduce 0	src/utils/petscii-session-model.ts:243 - transducePetsciiAtChoke removed from the choke	web/backend/tests/petscii/oracle-at-the-choke.test.ts:203	1 petscii-bytes payload -> exactly 1 empty observe and 0 full; every transduce instance === session.petsciiTransducer; oracle cursor/bank/pen/reverse == wireMirror	2026-09-03	afaa48185
R6	.seq after a directly displayed .TXT: displayScreen(SHORT.TXT) -> displayScreen(.seq)	transduce (the .TXT) + observe EMPTY (the .seq payload)	transduce 1 after the .TXT, observe-empty 1, observe-full 0	transduce 0	src/utils/petscii-session-model.ts:243 - transducePetsciiAtChoke removed from the choke	web/backend/tests/petscii/oracle-at-the-choke.test.ts:243	the .TXT moved the model to cursorY=2 before the .seq was read; oracle == wireMirror	2026-09-03	afaa48185
R7	input boundary: the real socket.on('command') handler registered by registerSocketHandlers	AnsiToPetsciiTransducer.prototype.flush	1 per keystroke	0	src/server/socket-handlers.ts:602 - flushPetsciiModel(session) removed	web/backend/tests/server/petscii-model-choke.test.ts:312	0 flushes while the bare CR is held (cursor 5,0), exactly 1 after the key, on session.petsciiTransducer; cursor resolves to (0,0) - the lone CR's $9D walk	2026-09-03	afaa48185
R8	the flip: the real handleCommand graphics-prompt answer 'P' (Enter path -> applyGraphicsAnswer)	AnsiToPetsciiTransducer.prototype.reset	1	0	src/handlers/command-handler/pre-login.ts:161 - resetPetsciiModel(session) removed	web/backend/tests/petscii/model-reset-at-flip.test.ts:318	exactly 1 reset; it happens at model-visible emit index 0, i.e. at or before the first petscii-bytes payload, and the model is HOME (0,0,bank0,pen14) at that emit	2026-09-03	afaa48185
R9	a door's raw PETSCII: BBSApi.writePetscii(Buffer) through the real choked socket	AnsiToPetsciiTransducer.prototype.observe with a NON-EMPTY argument (the unmarked branch)	1	0	src/utils/petscii-session-model.ts:245 - observePetsciiBytesAtChoke removed from the choke	web/backend/tests/petscii/oracle-at-the-choke.test.ts:294	exactly 1 non-empty observe, byte-for-byte the door's own buffer [93 8E 11 11]; oracle == wireMirror	2026-09-03	afaa48185
